first_word,second_word,bigram,count
"قبل","المغرب","قبل المغرب",523
"شنو","the","شنو the",498
"the","price","the price",476
"if","i","if i",458
"price","if","price if",450
"i","take","i take",447
"أول","مرة","أول مرة",308
"عيد","ميلاد","عيد ميلاد",229
"مرة","أشتري","مرة أشتري",186
"أنا","أول","أنا أول",159
"عميل","دايم","عميل دايم",149
"من","عندكم","من عندكم",132
"اليوم","بس","اليوم بس",129
"شي","رخيص","شي رخيص",128
"المغرب","اليوم","المغرب اليوم",115
"بس","ما","بس ما",111
"right","now","right now",108
"إذا","ممكن","إذا ممكن",107
"أنا","دايم","أنا دايم",95
"دايم","ا","دايم ا",94
"حق","عيد","حق عيد",93
"أعرف","إذا","أعرف إذا",92
"إذا","في","إذا في",92
"أشتري","منكم","أشتري منكم",91
"إذا","ما","إذا ما",90
"اليوم","فقط","اليوم فقط",85
"شي","يكون","شي يكون",80
"ميلاد","أخوي","ميلاد أخوي",80
"لعيد","ميلاد","لعيد ميلاد",76
"أشتري","من","أشتري من",75
"أنا","عميل","أنا عميل",74
"عرض","خاص","عرض خاص",74
"أخوي","يبي","أخوي يبي",73
"قبل","ما","قبل ما",73
"أنا","من","أنا من",72
"ممكن","تساعدوني","ممكن تساعدوني",71
"اللي","عندكم","اللي عندكم",68
"عروض","خاصة","عروض خاصة",68
"في","شي","في شي",67
"حل","سريع","حل سريع",66
"دايم","عندكم","دايم عندكم",64
"الأسبوع","الجاي","الأسبوع الجاي",62
"عندي","مشكلة","عندي مشكلة",62
"عيد","ميلاده","عيد ميلاده",61
"أبي","شي","أبي شي",61
"اليوم","قبل","اليوم قبل",60
"سمعت","إنه","سمعت إنه",60
"الجمعة","الجاية","الجمعة الجاية",58
"أحتاج","شي","أحتاج شي",57
"كيف","الحال","كيف الحال",56
"عندي","استفسار","عندي استفسار",56
"لو","سمحت","لو سمحت",55
"هل","في","هل في",54
"دايم","customer","دايم customer",54
"عندي","وقت","عندي وقت",54
"قبل","الجمعة","قبل الجمعة",51
"سمعت","عن","سمعت عن",50
"مرة","أطلب","مرة أطلب",50
"إذا","عندكم","إذا عندكم",49
"أعرف","شنو","أعرف شنو",49
"إنه","في","إنه في",47
"صار","لي","صار لي",45
